2000
3 0
890 3708 3340 
3040 2093 1301 
2609 739 4638 
2010 2936 2331 
4784 424 747 
4674 1912 2100 
2836 2142 1979 
4936 2887 1877 
1303 1837 2865 
404 41 845 
1932 1028 4015 
1879 3163 1469 
3219 1967 961 
2991 3072 724 
1375 762 2708 
2066 1668 444 
3537 3565 3018 
2859 1396 1316 
4997 464 2866 
3878 1499 3695 
3141 798 182 
1075 4340 4065 
1895 2668 3187 
830 245 505 
424 258 3694 
177 2300 3817 
3415 402 4803 
1933 417 4011 
1405 1300 4903 
617 1228 4559 
2596 1554 2797 
4656 1366 3970 
1269 2065 1493 
309 1753 3935 
2205 3093 4337 
4352 510 3890 
1293 3613 3325 
3713 4962 1292 
553 3276 2673 
462 1723 3576 
2920 3975 1961 
3023 1586 1247 
3450 1981 3623 
3729 4982 2035 
4145 1667 3296 
2782 1799 3836 
4947 694 1811 
4340 4286 4301 
4010 3650 2105 
1442 2185 988 
2894 1251 1624 
2375 4919 4710 
3067 398 547 
2260 2121 1334 
3836 4044 3288 
717 580 4185 
2286 4569 332 
4510 733 454 
2626 1580 4745 
600 4363 4900 
2031 3749 43 
4227 2653 3306 
3624 3137 4300 
338 3776 3565 
1073 2195 4404 
2473 4774 4415 
3409 1710 3816 
4429 2763 4652 
1158 2068 1237 
16 2271 1579 
4159 3589 4492 
2432 2449 3544 
3586 1514 1786 
4358 2513 626 
1274 261 1377 
2269 408 4279 
3008 2164 1445 
550 754 1123 
2390 11 444 
326 210 4989 
4377 3330 3076 
3559 3022 4147 
1096 4560 3214 
20 1035 4905 
1528 282 4172 
4777 4692 191 
3120 2025 406 
1421 3342 2907 
1556 747 1469 
31 4559 4093 
2060 1680 4097 
2877 2192 2088 
1284 505 430 
2820 1988 4029 
2 2159 4953 
4922 3650 3812 
4125 573 1332 
5000 4492 874 
254 3587 3887 
1346 4396 2951 
1178 3439 2668 
1403 369 1427 
419 903 650 
1279 3840 4828 
1664 1600 57 
3720 1533 4648 
3827 2257 1573 
609 4923 3047 
2084 3584 3516 
3326 505 2963 
1472 927 4276 
2614 4573 2839 
4792 3308 1633 
4766 3649 3713 
1259 2959 4265 
426 1069 3198 
4118 4156 4141 
784 2202 174 
1717 3225 3079 
3140 2664 4401 
3298 594 2104 
4123 315 3969 
1910 2572 4595 
3432 2315 767 
2279 1883 4388 
3731 3684 2875 
85 3489 2071 
2532 2197 1971 
3146 3967 4561 
3153 2728 93 
1329 2839 88 
805 1821 2098 
4986 1541 24 
3598 3051 2279 
1581 608 3534 
1333 1327 176 
2458 4643 1166 
2069 1597 3891 
1400 1326 4577 
4808 2789 4844 
1647 1064 1670 
3629 2751 4259 
2951 4767 483 
3594 4211 2170 
2727 3343 4756 
1300 1547 1700 
226 1952 4221 
1846 1590 1566 
901 117 1028 
371 3283 2437 
4825 3409 928 
2727 3844 4159 
439 4364 4907 
903 2280 3993 
249 4203 3727 
4625 1015 1380 
2458 392 3434 
4785 786 1866 
1056 3920 3408 
1735 3673 4517 
3250 4178 2205 
137 4123 3036 
2808 4149 2262 
1105 3901 1792 
1239 1482 781 
707 1521 3897 
1607 1517 299 
3182 4690 1309 
4725 3123 3135 
2031 3568 4361 
2953 4966 3938 
607 1423 629 
2287 2489 2653 
3398 4280 982 
3980 4419 1407 
617 1238 3470 
4460 213 927 
3902 243 833 
4273 2233 3143 
1979 3425 3219 
3712 1753 1807 
3913 578 688 
4731 2161 2383 
38 344 231 
3745 1104 2336 
4183 4173 810 
4510 2163 3705 
2345 757 2131 
1341 4557 4112 
4134 1167 4795 
4931 1955 4015 
4835 3107 1644 
3138 1818 2583 
3208 401 1631 
1743 4816 1014 
3770 2099 790 
3754 3519 2815 
2220 526 2407 
2935 1715 196 
4081 2215 2545 
929 3525 3955 
1702 1993 1211 
2144 3498 1490 
2322 4908 4020 
136 2510 2122 
3919 3620 748 
1014 1488 4381 
1109 2258 1493 
473 2197 425 
291 278 2391 
2464 4252 2276 
3974 4085 522 
4429 98 192 
1942 2418 439 
3169 4442 528 
50 3277 1510 
4806 4718 1682 
3011 2265 1090 
41 654 838 
2671 3645 4590 
3277 4070 2496 
4877 721 2914 
405 464 2030 
3257 1250 1764 
3837 1591 1272 
2610 4624 1022 
2122 2337 3335 
1868 4843 4612 
739 3961 3304 
2712 3449 690 
4992 579 2738 
3406 3648 4999 
3680 2343 4979 
2397 2246 793 
4573 589 3235 
3840 2489 1002 
1680 3770 1699 
529 3533 983 
3239 879 1117 
1591 2864 3444 
2218 4633 4834 
4908 3241 3938 
1152 1039 675 
1004 3232 4011 
4315 1760 3154 
860 435 4616 
1779 4547 3597 
4420 409 160 
1024 629 1954 
3719 4842 510 
1467 3932 2869 
3514 741 4245 
1437 1094 3007 
2544 2268 1317 
3195 3662 195 
151 2669 2687 
2740 80 1651 
2247 31 4729 
1597 1321 370 
4853 4767 2420 
4953 3899 1361 
4460 4883 4588 
4711 2442 3328 
370 4028 309 
3521 1497 3614 
3032 1871 2377 
3784 1483 3189 
4237 3522 1635 
2597 3202 3226 
3979 4190 822 
850 1990 4164 
38 3786 1078 
3514 2657 1827 
408 276 1531 
4819 4503 1506 
3002 674 2499 
1009 740 959 
1256 108 2676 
2412 2884 4223 
2247 1505 3781 
2663 4223 4791 
2728 3425 4266 
2980 2060 4576 
3035 2043 728 
407 1965 2952 
3682 2836 3578 
4867 4113 838 
1916 2920 2303 
3630 3519 3511 
3842 4434 4562 
2967 4948 937 
2463 2174 3361 
3394 2901 3146 
4645 430 2925 
254 2148 3848 
4674 1671 4552 
2482 2791 823 
3986 293 2488 
2925 1793 2062 
125 1344 3062 
2548 3592 1775 
3566 3323 4789 
2540 4300 4971 
1459 2362 1679 
4632 4500 1235 
1056 1949 2705 
2097 1950 3691 
3091 2913 1167 
3767 1561 197 
3966 1237 2834 
4444 4834 1437 
4426 2662 515 
1431 1747 519 
123 2557 2300 
3773 4077 181 
3998 4666 3870 
4033 3184 1454 
2193 4286 4553 
3090 2238 1129 
1681 3266 2463 
3234 594 4861 
508 1034 473 
2193 4729 4752 
3846 2384 1860 
2034 3533 4869 
1164 4133 2414 
3514 78 3682 
1821 1340 2351 
1713 4593 2110 
2117 2378 3 
4121 1147 3440 
1473 4041 2461 
905 444 1244 
161 1431 3863 
1138 763 2410 
2062 3253 3831 
2609 2100 4415 
2201 2140 4830 
319 2383 2865 
3042 2355 4528 
1526 888 4733 
1363 185 3907 
3797 3184 2819 
154 2047 2695 
3844 4015 3746 
3812 4897 4479 
2397 2592 4076 
1778 453 4831 
1696 4969 4018 
3419 4507 640 
3560 1146 1765 
1048 2642 4903 
808 735 591 
2810 3758 3841 
4088 3620 1982 
1969 3557 929 
1154 3053 2768 
1326 3158 1285 
2344 4087 211 
3633 188 3958 
2260 183 3947 
756 223 2443 
3445 3030 3913 
4158 4018 3873 
1787 692 570 
7 3512 1764 
3878 4157 2929 
2591 3169 16 
302 2933 2544 
1460 3787 332 
2277 3844 2956 
1521 3497 3063 
3341 1934 647 
1818 3307 3898 
903 2882 3669 
2832 4504 504 
2907 1863 2521 
776 419 672 
2171 933 324 
4269 770 4113 
4046 4875 2234 
994 4750 761 
2551 1601 1120 
3753 1304 4835 
3928 46 2683 
3472 2850 3793 
45 3539 3295 
2256 2552 1440 
3779 197 2429 
4507 2834 4018 
794 30 3588 
2142 4789 2879 
2480 2805 600 
533 1437 4082 
4367 301 1383 
2988 3500 2590 
4632 3123 3096 
1980 2020 3333 
721 1738 3716 
39 1681 3692 
989 2139 589 
1192 2300 751 
2528 1862 3324 
3016 4742 4989 
797 2887 3216 
3720 196 3995 
2470 2717 1393 
2163 1598 1847 
4087 816 1074 
2616 4668 4232 
3507 4 1530 
4603 736 3309 
4721 2747 191 
2853 2245 1314 
1721 4097 2250 
2163 4645 1366 
4394 1913 870 
3134 1117 1775 
1127 4444 2802 
22 2404 3362 
666 1177 2952 
619 117 4678 
278 4750 2611 
4770 4759 3684 
1823 973 3475 
3274 4883 3093 
3093 4075 981 
316 459 195 
1242 3821 4745 
311 3028 2256 
4861 2483 3717 
844 293 3146 
603 3476 3445 
972 773 4066 
4056 3772 1418 
2522 4227 4623 
1158 2897 84 
3614 2042 692 
2291 4586 2749 
2031 1621 4597 
3877 2949 411 
2047 1405 4039 
769 4080 4232 
2516 870 4385 
3590 2935 467 
3812 893 4748 
2866 2187 3117 
2653 48 1512 
1917 3210 496 
2222 3609 455 
2299 2967 1155 
1934 2373 722 
1721 1635 1891 
2697 3643 2884 
3405 1574 787 
2618 2478 1467 
418 2996 4409 
3148 3026 3581 
367 4146 608 
4094 3330 511 
1417 28 4171 
124 1632 4747 
4028 1570 4660 
600 989 2742 
3115 647 2783 
2719 4640 327 
4807 388 4477 
1895 1396 829 
1609 4043 703 
1980 1994 4989 
2819 1946 1746 
1453 4513 3667 
3687 1850 3090 
4545 2044 2608 
1270 2983 1991 
3485 2839 4477 
333 972 1554 
2962 1670 3267 
3364 1964 3525 
1405 3144 1489 
1131 2092 4011 
3439 3346 4742 
3171 4662 787 
4540 1988 3943 
2535 3254 3245 
865 4985 4491 
3706 4612 1828 
242 2622 1651 
93 3552 221 
2160 4379 1287 
3330 4045 3946 
2188 2221 4349 
527 2392 46 
1122 1747 2552 
585 3571 1173 
2252 4473 3137 
2457 1263 1764 
2249 4177 2390 
4735 4530 203 
1506 958 3062 
2950 4146 2830 
3090 153 4942 
2580 3385 108 
4515 386 3327 
319 555 341 
4976 149 1447 
2456 1276 1183 
634 4096 1878 
39 1850 1557 
4608 4466 1387 
1271 4581 3178 
519 1887 285 
1839 4858 4766 
3830 3337 3074 
72 2271 3985 
4117 1411 2903 
1354 1875 64 
3407 4395 635 
4474 4811 4144 
1487 2308 1 
862 4669 1815 
4157 2947 3091 
361 885 2522 
3113 2415 3568 
1127 3153 3037 
1259 854 3088 
3584 4750 1103 
3263 4392 4460 
2748 3677 2711 
4331 3426 4686 
3297 2611 2417 
4511 1266 4587 
858 4021 3012 
1343 277 401 
939 1803 1894 
1523 1463 4673 
3477 2141 4052 
1932 4481 987 
4700 2827 781 
3180 1560 187 
1505 2970 23 
3435 4478 2504 
4824 1158 427 
478 1883 3371 
971 4331 184 
211 1335 258 
2251 1074 1823 
2864 4027 3891 
810 4763 4451 
882 1685 1713 
371 2037 3365 
4958 346 58 
1236 3186 3761 
2779 1175 3310 
3223 4119 4302 
4108 356 284 
96 1180 2836 
4163 3997 2240 
2802 4412 4657 
3717 4702 1348 
4606 639 893 
201 3702 4408 
1123 4967 1047 
88 2009 3027 
2227 3860 147 
3311 2709 596 
2276 4734 4256 
1146 1164 3057 
4437 2901 378 
699 2421 1768 
4100 2113 2201 
3414 4669 4743 
1682 3157 4713 
108 1566 4340 
2711 1940 2672 
3563 3237 999 
1335 2281 4336 
2576 3615 671 
1538 4569 1487 
3977 783 1488 
716 746 4461 
17 2124 718 
4711 4441 999 
3121 4464 1662 
270 2386 3903 
578 4919 294 
4402 4885 4865 
4612 1143 209 
4687 164 1497 
4743 957 569 
400 3350 4676 
2913 3674 1360 
2246 1421 2300 
1768 2649 3961 
4148 2678 2763 
1449 1993 3349 
2427 1109 4975 
1089 303 3028 
4390 4953 2341 
4936 2818 97 
1676 1282 4212 
4719 801 3386 
1105 4540 2109 
3953 4369 2217 
184 2408 2391 
323 3164 4133 
34 4130 4249 
2157 4727 1699 
1640 327 1032 
1076 2984 4636 
479 3490 3470 
2744 2033 1536 
4654 1895 2797 
3001 2277 2611 
1550 1418 3269 
790 2106 4140 
531 3449 4836 
1826 1412 1130 
636 725 1248 
2640 925 1433 
1633 914 1283 
621 466 3375 
1324 1179 3585 
1557 4761 2131 
2452 1460 741 
2926 1143 4793 
2121 2530 2081 
1434 180 1151 
3477 2733 53 
2357 3368 3384 
1061 2588 2116 
2746 2029 3977 
2957 2575 2089 
41 134 2804 
2835 4768 1685 
792 2978 2783 
494 3562 3768 
4528 3303 4186 
2747 502 295 
3384 687 2867 
2158 4430 4265 
850 3763 4391 
1058 2605 2475 
2221 3941 3262 
429 2027 4080 
2227 2540 4279 
4930 1619 760 
1792 1164 2309 
3121 2827 4244 
3671 1076 987 
659 3215 3678 
2194 4564 1005 
3425 4498 1712 
4175 3599 4157 
3911 4115 4333 
3325 4410 1910 
1190 944 2729 
3507 2810 4267 
2625 3256 1840 
3505 2395 3434 
4608 396 4893 
2732 202 4938 
1623 2891 659 
185 68 3791 
1689 4167 4835 
996 656 4394 
236 941 2982 
2056 902 1588 
3083 4217 1837 
2584 3757 261 
234 2653 2139 
501 2792 793 
1733 1442 1059 
1865 3302 1840 
1901 3436 2202 
1274 2496 1615 
3623 2570 3539 
4053 4771 668 
1767 2830 2264 
3843 1932 1126 
115 2346 2101 
686 2801 2155 
3172 4563 4024 
3800 575 2283 
770 2552 84 
4953 717 2440 
1780 3047 4207 
4049 1196 3572 
4260 4252 970 
413 681 3446 
3473 1231 3549 
3442 4017 3239 
2885 3481 4560 
1383 2167 1256 
2274 2803 1404 
3369 2337 3581 
2234 2589 3953 
289 3403 3441 
1699 4794 4567 
3402 1145 3481 
1641 1559 2810 
2 1029 1500 
2967 2837 2914 
3532 1996 3180 
926 3760 3276 
4073 1096 772 
4961 1969 1448 
4322 555 505 
4709 1692 3517 
4475 4672 3619 
4319 3934 2821 
2512 1260 3471 
4192 2516 2541 
1385 4654 4455 
3302 1432 2678 
3579 1505 60 
1056 2604 2065 
4239 1511 3649 
805 3494 3536 
201 3239 2755 
1746 3281 388 
4950 4682 3012 
2730 4679 291 
4945 140 2309 
4997 2998 3709 
1809 2143 694 
4287 2894 1693 
2961 1300 315 
1528 4335 2973 
2013 1173 97 
277 991 3004 
3967 4076 865 
3203 4858 1085 
4129 2419 1563 
1801 1856 313 
1721 2752 3761 
292 1045 2127 
4317 4474 3568 
2421 4796 2131 
1004 2055 2647 
3560 2418 2884 
670 1173 2474 
4172 2216 2677 
4659 40 1901 
511 3038 331 
1326 655 4920 
2694 2398 1620 
4097 3003 872 
1504 4189 1563 
1900 444 951 
2906 3315 3634 
4236 2634 2693 
1220 3062 1203 
917 1678 107 
2371 594 951 
116 3474 911 
4845 2121 1278 
1510 2726 3323 
324 4862 1721 
4409 1467 3289 
2845 3322 2491 
4241 3704 2708 
2432 4729 3734 
4830 2257 920 
4505 4867 4025 
671 1211 3907 
4470 1203 4342 
1226 22 871 
4734 2454 4582 
4774 3176 958 
2336 296 4831 
1085 1966 1480 
4475 3035 433 
4563 211 2695 
4341 1749 1125 
779 4469 1651 
416 4884 3424 
3226 2203 2984 
4101 4094 3115 
4957 617 3601 
1364 1544 3073 
3949 2160 2747 
4729 2206 41 
3976 939 1405 
4096 4084 3715 
2654 3407 872 
3617 4380 2744 
4600 3697 1504 
3846 3802 2593 
1018 1106 2776 
758 1052 1142 
3422 1141 4244 
2235 1107 3319 
834 837 4019 
1542 1703 952 
2861 1179 2802 
778 4855 1694 
837 4160 4598 
438 2844 4840 
2838 3706 1399 
3794 1711 2021 
4769 973 618 
1402 2650 2543 
3941 2061 3237 
2577 4298 3370 
63 4613 4118 
2567 806 2990 
4186 1937 950 
3125 648 4518 
4442 3576 3649 
4824 306 4632 
389 905 3121 
563 2211 2720 
2887 2903 785 
1425 186 3784 
3383 2622 1572 
4601 601 46 
4722 4060 1171 
4603 1255 1679 
3986 2199 3084 
454 4158 2031 
2924 3452 3316 
4654 1531 3920 
1361 719 1551 
3920 4173 3121 
1841 321 343 
388 4753 554 
1761 2959 3741 
904 2207 2319 
1618 1350 946 
4306 59 4610 
3463 2984 4124 
4169 37 3081 
2658 1102 2503 
1120 4956 1979 
2560 2853 617 
1150 4671 4725 
1828 2824 4599 
1480 1430 4884 
2213 2935 613 
854 1473 4044 
511 3414 4689 
3966 2256 789 
4545 233 3355 
1858 2018 2695 
1028 2200 3302 
1118 4610 1825 
1073 961 2337 
4290 2609 2629 
4380 3542 4655 
523 3319 3215 
3808 3189 3391 
3841 262 3484 
1670 3991 2788 
3900 4218 1045 
167 292 837 
1913 4134 1765 
2214 4519 3842 
3267 2229 2040 
2288 992 427 
1111 1430 3471 
949 2376 68 
3783 287 3627 
4052 506 4380 
3622 3822 2038 
4686 3629 2874 
2823 4973 4497 
3748 13 4740 
4456 3048 3386 
1608 2193 2984 
3016 3247 4639 
1124 3537 4771 
493 341 3040 
3262 4120 3044 
1138 4502 873 
4797 4370 3512 
2566 1319 2891 
2724 2230 4662 
2247 394 2338 
1225 4119 286 
1932 660 2415 
1826 297 1602 
891 3829 1918 
2608 664 4691 
4539 2488 482 
4637 1702 4596 
4833 2873 205 
3123 3808 3696 
2126 4227 584 
2145 3647 4149 
2490 1708 2678 
367 2253 3531 
3723 2534 4408 
4547 4256 1663 
3831 4700 4714 
3562 1764 3661 
766 190 3452 
1129 2004 3545 
2525 4318 1288 
4847 1234 3529 
4437 98 4904 
1745 1516 644 
4198 1432 4791 
317 34 3021 
3043 2925 666 
4342 2601 4597 
2367 4771 4996 
154 4829 2967 
1916 1233 1805 
1091 4727 79 
2430 913 2287 
911 452 2970 
1419 4778 2587 
2200 4162 1560 
3934 4832 3143 
3662 3717 662 
285 540 357 
3808 1958 441 
857 1428 2282 
256 3818 3114 
169 4600 3865 
1806 2212 1382 
4420 2678 3893 
888 4497 1442 
3481 2754 2043 
1535 897 4009 
2017 3310 4599 
2416 3259 2735 
1178 2607 3193 
4612 3702 3758 
3191 3964 3826 
1402 3620 304 
4527 3621 1664 
2313 3760 534 
3064 4506 945 
681 1568 3521 
1151 218 4724 
1601 4615 270 
1602 4010 2411 
2813 1137 4697 
1679 652 3840 
3669 1415 4915 
1609 3772 3973 
4244 800 15 
4186 2112 3677 
767 3624 3657 
847 4502 1299 
2213 553 4978 
3917 3406 4261 
4968 3084 1099 
3671 89 1891 
3062 4455 1688 
2073 4498 2665 
3607 797 4064 
2735 420 62 
1738 222 4118 
1209 2776 3973 
3895 763 1975 
2075 3861 2391 
3205 4478 4619 
1005 3943 2563 
1854 4948 3772 
3718 2608 2563 
1094 491 3588 
2368 3716 4709 
2143 1696 1626 
3407 3139 3404 
3023 4729 3172 
740 1977 2748 
1460 4441 3145 
1766 4798 2743 
2137 922 3911 
1458 1979 63 
3025 4901 1594 
3978 3820 4952 
442 4353 1751 
2641 2950 4010 
2753 3412 1389 
4857 4270 3972 
951 1577 2075 
4559 521 1764 
2571 3954 1712 
639 3269 1642 
1433 4516 2770 
4969 3014 833 
3924 1745 692 
50 3038 2111 
1407 4704 2276 
3255 1013 4957 
749 630 663 
3300 505 4938 
4489 3115 2443 
4903 4154 3800 
4469 4643 4440 
4512 4544 2013 
1959 4632 779 
1794 1747 1898 
3969 66 3660 
2846 4784 258 
4657 125 433 
3454 4103 220 
2969 4817 241 
1088 3326 2409 
4183 1387 2785 
3446 588 76 
191 4626 4495 
2088 3501 4656 
2613 1628 3785 
918 4790 4159 
2338 2086 4117 
3969 273 1834 
678 3092 50 
2931 1076 3574 
1384 787 4473 
4316 1369 2792 
3358 3946 3413 
4930 544 4805 
4228 2692 1061 
2017 537 1171 
3772 1596 2437 
4981 2090 1961 
3986 4260 3410 
540 1968 681 
1446 4525 792 
50 3282 2426 
4916 2469 576 
3304 2461 4798 
3028 2914 1395 
3454 3191 3672 
3265 3102 1216 
3483 4718 3225 
4445 3074 4020 
4150 3772 4841 
1141 3934 796 
4049 1622 3681 
4941 4592 131 
1857 1096 477 
3850 159 4403 
758 3745 3217 
3432 4485 3163 
4456 2410 3948 
4264 4685 4515 
1108 222 1156 
2134 4891 1066 
1089 2996 1204 
3285 4381 579 
3263 1860 1393 
3993 4894 3455 
2369 1330 210 
1809 23 286 
4531 2143 2959 
3163 1959 4289 
4577 3300 66 
2550 3032 4935 
2760 139 1887 
2306 1485 2260 
1963 1497 4015 
2310 3480 2185 
306 3538 4895 
2705 4229 3444 
4278 828 1525 
605 3745 2498 
438 1797 3446 
412 1166 1255 
1065 4252 1867 
3037 3553 73 
3229 2961 1507 
2618 2573 1637 
2866 3072 2239 
739 955 3903 
3168 2060 2586 
3210 890 2504 
2931 2374 1073 
1286 1772 4854 
3412 1100 3510 
2958 1388 3489 
4863 1642 1800 
1957 1861 1475 
3665 3356 3108 
2923 4123 4198 
2373 3807 1779 
3564 1851 3861 
3425 2196 121 
3123 2012 3190 
2894 31 360 
3197 2932 4259 
3000 438 2012 
3904 3073 3536 
3317 2397 3603 
2023 2855 3518 
594 2246 2419 
2408 1553 4177 
4769 4212 3762 
349 257 1027 
2246 4668 1307 
1690 4717 3263 
680 2910 412 
3921 2080 1847 
846 2491 3684 
3573 3814 2098 
1001 3580 4710 
908 1936 174 
4967 2874 4306 
3723 3505 730 
3614 4753 4508 
782 3014 4708 
1743 1837 3931 
4347 3845 4160 
1302 2642 500 
147 3443 3517 
1795 4079 4071 
2105 2409 3059 
3440 1401 179 
3882 4464 997 
3042 3297 3167 
3250 1795 3071 
732 51 1260 
1277 475 2101 
340 2039 113 
4749 4912 2016 
1064 3015 3825 
3646 2135 3688 
4120 3839 1380 
1347 3797 955 
3676 2970 4259 
4262 3029 1771 
1546 3880 1898 
1369 1646 84 
2312 316 3522 
2699 3677 13 
2027 3739 4370 
482 2585 4379 
2186 1367 1841 
2755 141 1691 
2758 3528 3305 
4633 1425 2768 
3309 1006 3504 
979 521 274 
2475 3100 4013 
914 2150 4762 
183 2578 3525 
1005 4139 4985 
2884 4652 2241 
4963 2543 1843 
4659 4253 4426 
710 15 4283 
701 4010 1601 
2140 421 2362 
2639 209 2954 
1753 1407 1995 
3509 2383 1246 
714 630 593 
4132 1225 2109 
3911 1473 4614 
2745 4152 202 
1885 3167 4739 
2499 1331 2301 
4623 203 1518 
3198 854 571 
507 558 3812 
937 126 775 
4801 4059 4881 
2376 4955 3568 
912 1637 2958 
1864 2893 1167 
660 4833 3729 
4474 2444 347 
4163 731 4857 
2490 4435 3324 
1884 2373 3908 
883 923 4891 
3573 4386 159 
1649 3170 2542 
2908 1122 1156 
3504 3016 1018 
156 728 65 
1657 4948 2340 
412 1414 2650 
3894 1175 2236 
2135 2155 3166 
797 1846 4165 
4932 1115 1596 
2914 2587 3985 
4413 1001 2563 
3733 2773 4662 
1484 1823 1063 
3145 1283 1912 
1527 4420 3268 
1600 2053 1629 
4296 1500 4750 
4166 870 2769 
851 4951 3085 
2739 4781 1975 
1795 568 940 
460 1691 3192 
3417 152 4353 
4751 2418 1293 
4733 1 374 
102 4478 2135 
2241 4957 2104 
3413 819 4123 
2789 4799 796 
2097 200 4383 
3637 2655 4885 
1099 2970 2052 
4788 385 4754 
4674 734 3028 
1007 3877 4610 
4317 1487 1561 
2052 4350 2102 
1277 3149 3355 
2760 1572 4617 
3907 3006 4901 
1101 3487 861 
2157 413 745 
678 4612 1147 
574 3434 4135 
2880 3288 4014 
3559 4094 1899 
2115 504 1620 
883 4245 1016 
3941 835 3426 
4184 2951 1874 
2713 4870 4524 
3337 4572 4086 
2742 133 4199 
3986 1307 797 
171 4716 1865 
1989 513 802 
1920 1636 1188 
2997 2680 3977 
2592 467 3882 
2672 2108 2431 
4028 218 1162 
4299 494 3463 
1828 3804 2468 
4252 1961 4065 
1409 918 4986 
3394 4525 3532 
348 3289 3637 
4772 3003 1770 
1768 1246 1526 
3922 3749 1926 
2070 4738 4289 
786 2720 3256 
2213 2460 2160 
1960 4174 24 
4795 4070 1192 
4682 3686 2665 
4127 4076 1270 
3591 2455 3915 
3774 2284 753 
4228 177 1390 
2210 516 4322 
2689 4018 2938 
3578 2317 3804 
3644 970 4522 
4504 3143 3456 
280 1782 3359 
3808 3946 4732 
4070 2435 4612 
1853 3075 77 
4553 1275 4883 
3416 1145 2103 
1425 991 2359 
3459 1786 3664 
3416 2900 3588 
4688 4523 3956 
1634 548 645 
2933 2768 3624 
3949 4002 3842 
317 4374 3416 
4445 529 3099 
995 4027 4673 
3744 3655 2166 
4941 0 3898 
4472 404 158 
3962 2749 13 
4089 4870 4695 
3810 514 711 
1323 4881 875 
38 3709 882 
298 522 3866 
2424 2750 2690 
3641 3015 4907 
4176 2615 432 
387 1734 4573 
1429 2638 4272 
2562 1280 4940 
1001 1140 3146 
2434 1864 3718 
3235 4548 4697 
3853 781 779 
1888 353 313 
2690 1878 4666 
1873 1624 1581 
4175 3474 1526 
2360 1061 1720 
4133 3064 2323 
52 2521 342 
3383 2176 1496 
2706 3273 2296 
4086 4619 1379 
1126 619 2629 
2559 1712 20 
3869 3773 3529 
1784 4707 4230 
768 1977 291 
4813 829 2364 
2291 1041 4667 
187 2501 383 
591 4794 2020 
4244 4519 1832 
3973 3142 3844 
4894 3026 4061 
2815 4783 1249 
678 3043 1889 
4413 859 1031 
345 3372 3256 
4910 3810 2731 
2950 1571 1525 
4200 2122 3911 
2305 2246 3709 
4883 3955 994 
2077 2886 969 
1802 1664 351 
4401 356 392 
2134 293 3010 
2901 2248 3779 
1599 2810 4164 
2874 161 1227 
2838 4703 1643 
