species,bill_length_mm
Adelie,52.5
Adelie,63.2
Adelie,34.8
Adelie,48.5
Adelie,65.2
Adelie,21.8
Adelie,27.0
Adelie,28.8
Adelie,24.6
Adelie,26.4
Adelie,24.9
Adelie,28.6
Adelie,19.8
Adelie,33.1
Adelie,29.2
Adelie,21.9
Adelie,31.6
Adelie,23.0
Adelie,26.7
Adelie,32.3
Adelie,23.0
Adelie,31.0
Adelie,28.3
Adelie,21.8
Adelie,37.6
Adelie,18.0
Adelie,35.9
Adelie,27.0
Adelie,26.6
Adelie,29.1
Adelie,31.1
Adelie,29.3
Adelie,35.1
Adelie,29.3
Adelie,36.8
Adelie,26.3
Adelie,39.2
Adelie,32.6
Adelie,34.0
Adelie,35.9
Adelie,45.0
Adelie,44.7
Adelie,41.1
Chinstrap,60.4
Chinstrap,50.9
Chinstrap,49.3
Chinstrap,38.8
Chinstrap,54.3
Chinstrap,59.9
Chinstrap,56.2
Chinstrap,53.4
Chinstrap,54.5
Chinstrap,59.3
Chinstrap,70.9
Chinstrap,62.1
Chinstrap,62.9
Chinstrap,62.1
Chinstrap,21.5
Chinstrap,30.2
Chinstrap,26.7
Chinstrap,25.7
Chinstrap,26.2
Chinstrap,23.1
Chinstrap,28.3
Chinstrap,35.9
Chinstrap,31.1
Chinstrap,23.6
Chinstrap,27.9
Chinstrap,42.2
Chinstrap,33.8
Chinstrap,34.1
Chinstrap,27.3
Chinstrap,28.4
Chinstrap,28.5
Chinstrap,30.8
Chinstrap,30.8
Chinstrap,18.7
Chinstrap,29.5
Chinstrap,31.4
Chinstrap,28.5
Chinstrap,34.0
Chinstrap,31.8
Chinstrap,30.8
Chinstrap,32.2
Chinstrap,35.1
Chinstrap,27.7
Chinstrap,33.4
Chinstrap,27.4
Chinstrap,28.7
Chinstrap,32.3
Chinstrap,33.4
Chinstrap,32.7
Chinstrap,31.9
Chinstrap,32.6
Chinstrap,30.6
Chinstrap,30.3
Chinstrap,32.4
Chinstrap,24.0
Chinstrap,33.4
Chinstrap,31.5
Chinstrap,29.2
Chinstrap,36.6
Chinstrap,44.1
Chinstrap,31.0
Chinstrap,35.9
Chinstrap,31.8
Chinstrap,39.9
Chinstrap,38.3
Chinstrap,36.1
Chinstrap,38.5
Chinstrap,40.8
Chinstrap,53.4
Chinstrap,64.1
Gentoo,51.3
Gentoo,56.8
Gentoo,66.5
Gentoo,56.9
Gentoo,50.2
Gentoo,42.9
Gentoo,48.0
Gentoo,51.8
Gentoo,61.4
Gentoo,40.5
Gentoo,73.6
Gentoo,70.7
Gentoo,71.9
Gentoo,55.4
Gentoo,47.1
Gentoo,55.9
Gentoo,62.4
Gentoo,62.4
Gentoo,47.9
Gentoo,57.7
Gentoo,66.5
Gentoo,65.0
Gentoo,69.7
Gentoo,60.5
Gentoo,65.8
Gentoo,49.9
Gentoo,49.0
Gentoo,49.7
Gentoo,47.6
Gentoo,57.9
Gentoo,46.9
Gentoo,48.9
Gentoo,56.9
Gentoo,46.2
Gentoo,62.5
Gentoo,53.2
Gentoo,66.8
Gentoo,60.3
Gentoo,58.7
Gentoo,49.5
Gentoo,88.2
Gentoo,71.5
Gentoo,58.5
Gentoo,60.8
Gentoo,63.8
Gentoo,50.3
Gentoo,59.2
Gentoo,45.0
Gentoo,52.9
Gentoo,24.4
Gentoo,22.7
Gentoo,26.9
Gentoo,27.6
Gentoo,25.1
Gentoo,24.3
Gentoo,27.7
Gentoo,44.9
Gentoo,26.2
Gentoo,35.8
Gentoo,30.8
Gentoo,36.2
Gentoo,26.8
Gentoo,28.1
Gentoo,35.0
Gentoo,30.4
Gentoo,25.5
Gentoo,39.0
Gentoo,27.7
Gentoo,24.3
Gentoo,23.2
Gentoo,25.1
Gentoo,27.8
Gentoo,22.4
Gentoo,26.3
Gentoo,24.4
Gentoo,26.9
Gentoo,39.6
Gentoo,27.2
Gentoo,33.2
Gentoo,39.0
Gentoo,28.9
Gentoo,34.8
Gentoo,36.5
Gentoo,26.9
Gentoo,29.3
Gentoo,26.9
Gentoo,49.0
Gentoo,33.8
Gentoo,43.6
Gentoo,39.8
Gentoo,39.0
Gentoo,32.5
Gentoo,38.1
Gentoo,34.1
Gentoo,31.9
Gentoo,43.6
Gentoo,38.2
Gentoo,26.6
Gentoo,34.4
Gentoo,32.4
Gentoo,33.9
Gentoo,37.6
Gentoo,36.5
Gentoo,42.2
Gentoo,41.1
Gentoo,28.9
Gentoo,34.5
Gentoo,27.5
Gentoo,26.6
Gentoo,46.5
Gentoo,42.3
Gentoo,41.8
Gentoo,35.8
Gentoo,45.6
Gentoo,41.6
Gentoo,42.8
Gentoo,54.0
Gentoo,27.5
Gentoo,38.8
Gentoo,38.4
Gentoo,35.5
Gentoo,50.2
Gentoo,43.2
Gentoo,46.0
Gentoo,46.8
Gentoo,43.2
Gentoo,51.0
Gentoo,51.6
Gentoo,45.6
Adelie,55.5
Adelie,54.3
Adelie,52.6
Adelie,49.7
Adelie,35.5
Adelie,66.9
Adelie,45.5
Adelie,60.0
Adelie,52.8
Adelie,51.9
Adelie,52.0
Adelie,40.6
Adelie,37.6
Adelie,38.7
Adelie,40.3
Adelie,56.3
Adelie,59.9
Adelie,43.5
Adelie,49.9
Adelie,59.3
Adelie,45.4
Adelie,50.6
Adelie,44.5
Adelie,54.6
Adelie,46.1
Adelie,60.8
Adelie,70.2
Adelie,49.4
Adelie,48.8
Adelie,70.6
Adelie,42.6
Adelie,38.7
Adelie,29.3
Adelie,23.5
Adelie,18.2
Adelie,26.2
Adelie,32.2
Adelie,31.1
Adelie,23.7
Adelie,27.4
Adelie,30.9
Adelie,26.9
Adelie,25.6
Adelie,29.3
Adelie,25.5
Adelie,32.9
Adelie,21.4
Adelie,21.4
Adelie,33.4
Adelie,29.3
Adelie,25.6
Adelie,26.9
Adelie,29.0
Adelie,25.7
Adelie,29.1
Adelie,30.1
Adelie,33.5
Adelie,21.1
Adelie,38.0
Adelie,28.4
Adelie,25.0
Adelie,21.3
Adelie,26.3
Adelie,23.9
Adelie,23.4
Adelie,30.1
Adelie,25.0
Adelie,27.8
Adelie,33.3
Adelie,30.0
Adelie,26.8
Adelie,35.8
Adelie,25.1
Adelie,28.9
Adelie,36.1
Adelie,30.2
Adelie,37.1
Adelie,25.6
Adelie,28.3
Adelie,37.3
Adelie,34.3
Adelie,20.2
Adelie,27.0
Adelie,33.6
Adelie,30.6
Adelie,29.1
Adelie,33.0
Adelie,25.8
Adelie,36.1
Adelie,28.9
Adelie,28.3
Adelie,32.4
Adelie,35.9
Adelie,31.1
Adelie,30.2
Adelie,34.9
Adelie,30.9
Adelie,37.7
Adelie,27.3
Adelie,40.7
Adelie,26.6
Adelie,35.6
Adelie,36.0
Adelie,48.0
Adelie,44.1
Adelie,38.9
Adelie,39.2
Adelie,43.7
Adelie,54.7
Adelie,50.7
Adelie,49.4
Adelie,48.6
Adelie,51.0
Adelie,43.5
Adelie,45.3
Adelie,60.6
Adelie,56.3
Adelie,65.1
Adelie,24.2
Adelie,26.5
Adelie,30.3
Adelie,22.7
Adelie,23.9
Adelie,23.6
Adelie,32.1
Adelie,29.1
Adelie,22.9
Adelie,24.4
Adelie,20.8
Adelie,23.7
Adelie,18.9
Adelie,21.3
Adelie,19.3
Adelie,24.2
Adelie,28.8
Adelie,20.0
Adelie,27.3
Adelie,28.5
Adelie,24.5
Adelie,29.6
Adelie,23.2
Adelie,34.2
Adelie,25.5
Adelie,34.0
Adelie,35.9
Adelie,22.2
Adelie,26.3
Adelie,17.4
Adelie,21.9
Adelie,27.0
Adelie,25.9
Adelie,32.2
Adelie,31.8
Adelie,28.2
Adelie,21.8
Adelie,25.1
Adelie,24.0
Adelie,24.1
Adelie,25.7
Adelie,20.4
Adelie,35.7
Adelie,32.6
Adelie,29.5
Adelie,24.1
Adelie,29.9
Adelie,21.0
Adelie,25.7
Adelie,35.4
Adelie,26.7
Adelie,31.3
Adelie,26.6
Adelie,30.9
Adelie,25.3
Adelie,30.8
Adelie,28.5
Adelie,23.4
Adelie,29.5
Adelie,29.6
Adelie,27.5
Adelie,21.1
Adelie,28.6
Adelie,24.4
Adelie,28.8
Adelie,37.0
Adelie,35.6
Adelie,26.1
Adelie,33.3
Adelie,34.9
Adelie,30.4
Adelie,27.8
Adelie,24.5
Adelie,29.6
Adelie,37.9
Adelie,36.3
Adelie,34.5
Adelie,31.2
Adelie,33.9
Adelie,31.7
Adelie,30.6
Adelie,30.9
Adelie,35.7
Adelie,34.8
Adelie,33.2
Adelie,25.0
Adelie,47.1
Adelie,26.8
Adelie,47.6
Adelie,44.9
Adelie,51.7
Adelie,46.3
Adelie,57.4
Adelie,56.9
Adelie,51.1
Adelie,49.6
Adelie,53.7
Adelie,41.5
Adelie,62.5
Adelie,52.4
Adelie,45.0
Adelie,51.7
Adelie,50.5
Adelie,49.6
Adelie,50.9
Adelie,58.7
Adelie,58.3
Adelie,53.1
Adelie,66.9
Adelie,54.9
Adelie,63.0
Adelie,24.6
Adelie,34.7
Adelie,25.1
Adelie,27.2
Adelie,29.3
Adelie,26.7
Adelie,20.9
Adelie,38.4
Adelie,20.2
Adelie,19.6
Adelie,33.1
Adelie,23.6
Adelie,29.9
Adelie,24.2
Adelie,21.0
Adelie,27.0
Adelie,32.9
Adelie,31.8
Adelie,29.2
Adelie,25.6
Adelie,34.2
Adelie,25.8
Adelie,28.4
Adelie,26.4
Adelie,24.1
Adelie,30.3
Adelie,23.7
Adelie,28.0
Adelie,30.5
Adelie,32.0
Adelie,36.1
Adelie,30.6
Adelie,32.0
Adelie,35.9
Adelie,26.1
Adelie,34.0
Adelie,23.0
Adelie,30.3
Adelie,28.8
Adelie,26.4
Adelie,34.9
Adelie,35.1
Adelie,39.0
Adelie,26.1
Adelie,38.9
Adelie,39.7
Adelie,31.4
Adelie,37.7
Adelie,26.3
Adelie,41.1
Adelie,37.0
Adelie,18.3
Adelie,28.5
Adelie,30.3
Adelie,41.5
Adelie,29.1
Adelie,46.9
Adelie,39.2
Adelie,30.7
Adelie,33.1
Adelie,27.6
Adelie,40.9
Adelie,47.3
Adelie,43.6
Adelie,45.6
Adelie,41.9
Chinstrap,48.7
Chinstrap,35.7
Chinstrap,40.9
Chinstrap,62.8
Chinstrap,50.5
Chinstrap,44.0
Chinstrap,52.3
Chinstrap,54.9
Chinstrap,57.7
Chinstrap,41.1
Chinstrap,61.6
Chinstrap,60.7
Chinstrap,53.7
Chinstrap,39.2
Chinstrap,51.8
Chinstrap,26.8
Chinstrap,24.5
Chinstrap,20.3
Chinstrap,29.8
Chinstrap,22.3
Chinstrap,27.2
Chinstrap,33.7
Chinstrap,28.8
Chinstrap,34.0
Chinstrap,28.8
Chinstrap,28.7
Chinstrap,22.5
Chinstrap,40.2
Chinstrap,25.2
Chinstrap,34.0
Chinstrap,25.6
Chinstrap,38.4
Chinstrap,29.8
Chinstrap,33.7
Chinstrap,25.7
Chinstrap,24.2
Chinstrap,26.7
Chinstrap,33.7
Chinstrap,27.4
Chinstrap,23.2
Chinstrap,21.8
Chinstrap,31.6
Chinstrap,25.9
Chinstrap,24.2
Chinstrap,28.1
Chinstrap,32.1
Chinstrap,30.2
Chinstrap,29.1
Chinstrap,27.8
Chinstrap,23.4
Chinstrap,34.2
Chinstrap,32.8
Chinstrap,36.8
Chinstrap,30.6
Chinstrap,33.4
Chinstrap,32.4
Chinstrap,30.0
Chinstrap,27.2
Chinstrap,29.7
Chinstrap,34.7
Chinstrap,29.7
Chinstrap,25.5
Chinstrap,28.8
Chinstrap,30.1
Chinstrap,36.4
Chinstrap,39.3
Chinstrap,26.3
Chinstrap,28.4
Chinstrap,37.6
Chinstrap,29.8
Chinstrap,30.2
Chinstrap,30.1
Chinstrap,33.5
Chinstrap,29.8
Chinstrap,30.9
Chinstrap,41.0
Chinstrap,30.3
Chinstrap,28.9
Chinstrap,38.1
Chinstrap,30.7
Chinstrap,23.1
Chinstrap,33.1
Chinstrap,25.6
Chinstrap,39.7
Chinstrap,22.0
Chinstrap,32.0
Chinstrap,30.0
Chinstrap,28.8
Chinstrap,31.2
Chinstrap,37.9
Chinstrap,24.5
Chinstrap,30.6
Chinstrap,32.4
Chinstrap,31.7
Chinstrap,28.8
Chinstrap,36.8
Chinstrap,31.4
Chinstrap,30.9
Chinstrap,33.4
Chinstrap,30.9
Chinstrap,29.8
Chinstrap,28.3
Chinstrap,40.8
Chinstrap,38.6
Chinstrap,41.0
Chinstrap,35.0
Chinstrap,31.8
Chinstrap,38.0
Chinstrap,33.6
Chinstrap,40.3
Chinstrap,33.3
Chinstrap,34.4
Chinstrap,41.4
Chinstrap,36.4
Chinstrap,34.0
Chinstrap,41.2
Chinstrap,48.3
Chinstrap,43.6
Chinstrap,43.0
Chinstrap,29.7
Chinstrap,31.6
Chinstrap,42.1
Chinstrap,48.9
Chinstrap,44.6
Chinstrap,40.4
Gentoo,42.3
Gentoo,58.9
Gentoo,65.1
Gentoo,55.3
Gentoo,57.3
Gentoo,53.8
Gentoo,49.0
Gentoo,40.3
Gentoo,72.0
Gentoo,63.4
Gentoo,47.2
Gentoo,58.0
Gentoo,58.4
Gentoo,51.4
Gentoo,63.0
Gentoo,59.9
Gentoo,58.1
Gentoo,54.4
Gentoo,46.9
Gentoo,47.4
Gentoo,48.8
Gentoo,59.7
Gentoo,54.0
Gentoo,67.5
Gentoo,38.6
Gentoo,56.5
Gentoo,55.4
Gentoo,57.4
Gentoo,42.4
Gentoo,45.4
Gentoo,52.0
Gentoo,46.4
Gentoo,42.0
Gentoo,52.8
Gentoo,49.0
Gentoo,60.6
Gentoo,62.6
Gentoo,49.0
Gentoo,55.4
Gentoo,65.4
Gentoo,65.4
Gentoo,50.4
Gentoo,58.0
Gentoo,53.8
Gentoo,51.0
Gentoo,54.2
Gentoo,62.3
Gentoo,48.3
Gentoo,61.4
Gentoo,58.7
Gentoo,81.1
Gentoo,44.2
Gentoo,74.6
Gentoo,55.2
Gentoo,61.9
Gentoo,75.8
Gentoo,75.2
Gentoo,61.8
Gentoo,59.2
Gentoo,71.9
Gentoo,58.2
Gentoo,76.5
Gentoo,58.1
Gentoo,63.3
Gentoo,85.3
Gentoo,57.2
Gentoo,84.0
Gentoo,52.9
Gentoo,61.0
Gentoo,58.3
Gentoo,55.9
Gentoo,47.9
Gentoo,58.0
Gentoo,82.0
Gentoo,63.7
Gentoo,82.3
Gentoo,63.4
Gentoo,57.9
Gentoo,61.4
Gentoo,51.7
Gentoo,81.6
Gentoo,55.9
Gentoo,73.5
Gentoo,68.8
Gentoo,71.6
Gentoo,69.5
Gentoo,55.0
Gentoo,57.2
Gentoo,55.3
Gentoo,60.4
Gentoo,67.1
Gentoo,83.5
Gentoo,51.0
Gentoo,33.0
Gentoo,35.2
Gentoo,29.1
Gentoo,32.6
Gentoo,20.5
Gentoo,31.8
Gentoo,32.6
Gentoo,16.8
Gentoo,30.2
Gentoo,23.0
Gentoo,28.4
Gentoo,39.1
Gentoo,29.1
Gentoo,29.6
Gentoo,31.1
Gentoo,30.9
Gentoo,33.0
Gentoo,36.7
Gentoo,26.0
Gentoo,26.3
Gentoo,29.3
Gentoo,24.0
Gentoo,30.4
Gentoo,26.8
Gentoo,38.9
Gentoo,32.6
Gentoo,34.5
Gentoo,27.5
Gentoo,34.4
Gentoo,29.0
Gentoo,32.1
Gentoo,28.6
Gentoo,31.8
Gentoo,30.1
Gentoo,33.8
Gentoo,35.4
Gentoo,25.1
Gentoo,20.1
Gentoo,26.0
Gentoo,40.5
Gentoo,39.0
Gentoo,33.5
Gentoo,23.6
Gentoo,31.2
Gentoo,33.5
Gentoo,28.5
Gentoo,31.8
Gentoo,28.6
Gentoo,34.1
Gentoo,33.0
Gentoo,38.2
Gentoo,28.6
Gentoo,27.3
Gentoo,36.5
Gentoo,29.2
Gentoo,31.1
Gentoo,26.1
Gentoo,35.7
Gentoo,33.7
Gentoo,37.0
Gentoo,32.3
Gentoo,36.2
Gentoo,39.6
Gentoo,24.8
Gentoo,48.3
Gentoo,36.4
Gentoo,29.0
Gentoo,38.2
Gentoo,44.1
Gentoo,30.9
Gentoo,32.6
Gentoo,37.0
Gentoo,29.7
Gentoo,30.1
Gentoo,28.7
Gentoo,31.8
Gentoo,41.8
Gentoo,32.5
Gentoo,30.4
Gentoo,41.0
Gentoo,35.5
Gentoo,41.7
Gentoo,29.1
Gentoo,38.4
Gentoo,35.2
Gentoo,34.8
Gentoo,33.4
Gentoo,29.4
Gentoo,38.3
Gentoo,33.0
Gentoo,36.1
Gentoo,44.7
Gentoo,32.3
Gentoo,33.5
Gentoo,34.2
Gentoo,33.0
Gentoo,33.2
Gentoo,38.5
Gentoo,41.6
Gentoo,35.6
Gentoo,38.7
Gentoo,34.1
Gentoo,34.0
Gentoo,33.0
Gentoo,31.2
Gentoo,45.1
Gentoo,41.5
Gentoo,38.8
Gentoo,33.8
Gentoo,32.6
Gentoo,28.8
Gentoo,42.1
Gentoo,34.4
Gentoo,45.2
Gentoo,43.5
Gentoo,35.7
Gentoo,41.7
Gentoo,35.3
Gentoo,36.3
Gentoo,32.0
Gentoo,38.3
Gentoo,33.7
Gentoo,43.0
Gentoo,34.0
Gentoo,32.6
Gentoo,41.4
Gentoo,31.5
Gentoo,36.0
Gentoo,42.0
Gentoo,41.6
Gentoo,43.5
Gentoo,42.6
Gentoo,43.3
Gentoo,37.4
Gentoo,40.7
Gentoo,41.7
Gentoo,50.8
Gentoo,41.4
Gentoo,52.5
Gentoo,36.3
Gentoo,41.7
Gentoo,44.8
Gentoo,40.1
Gentoo,39.9
Gentoo,55.5
Adelie,44.9
Adelie,56.9
Adelie,52.1
Adelie,46.8
Adelie,45.9
Adelie,53.0
Adelie,40.0
Adelie,42.9
Adelie,50.6
Adelie,53.5
Adelie,58.3
Adelie,48.2
Adelie,49.1
Adelie,52.6
Adelie,44.3
Adelie,57.3
Adelie,64.7
Adelie,48.7
Adelie,72.5
Adelie,64.4
Adelie,53.4
Adelie,55.7
Adelie,54.2
Adelie,49.2
Adelie,45.9
Adelie,48.5
Adelie,52.4
Adelie,37.7
Adelie,32.1
Adelie,25.0
Adelie,23.5
Adelie,27.6
Adelie,24.4
Adelie,20.9
Adelie,28.4
Adelie,22.7
Adelie,25.7
Adelie,23.5
Adelie,25.1
Adelie,34.9
Adelie,25.5
Adelie,27.7
Adelie,31.6
Adelie,33.0
Adelie,31.8
Adelie,32.2
Adelie,24.0
Adelie,32.0
Adelie,23.4
Adelie,31.9
Adelie,26.9
Adelie,29.8
Adelie,23.3
Adelie,31.3
Adelie,30.3
Adelie,30.8
Adelie,28.4
Adelie,25.3
Adelie,32.7
Adelie,33.4
Adelie,32.9
Adelie,31.1
Adelie,36.1
Adelie,27.5
Adelie,22.2
Adelie,34.3
Adelie,20.1
Adelie,35.1
Adelie,34.0
Adelie,25.7
Adelie,30.9
Adelie,32.9
Adelie,30.5
Adelie,36.2
Adelie,23.0
Adelie,32.5
Adelie,27.0
Adelie,21.3
Adelie,24.2
Adelie,27.4
Adelie,30.1
Adelie,25.5
Adelie,30.1
Adelie,28.0
Adelie,36.7
Adelie,34.2
Adelie,32.4
Adelie,36.5
Adelie,26.9
Adelie,41.6
Adelie,38.6
Adelie,33.2
Adelie,40.8
Adelie,43.5
Adelie,39.8
Adelie,48.1
Adelie,54.8
Adelie,53.1
Adelie,61.7
Adelie,21.7
Adelie,48.6
Adelie,47.3
Adelie,36.1
Adelie,49.9
Adelie,65.4
Adelie,63.4
Adelie,73.6
Adelie,22.0
Adelie,24.3
Adelie,37.2
Adelie,28.9
Adelie,17.6
Adelie,29.4
Adelie,18.1
Adelie,36.5
Adelie,24.6
Adelie,21.1
Adelie,34.6
Adelie,27.2
Adelie,30.5
Adelie,20.4
Adelie,19.1
Adelie,23.0
Adelie,32.8
Adelie,25.1
Adelie,24.5
Adelie,21.1
Adelie,19.8
Adelie,32.4
Adelie,35.6
Adelie,27.1
Adelie,22.5
Adelie,20.9
Adelie,39.7
Adelie,19.7
Adelie,20.7
Adelie,19.5
Adelie,21.0
Adelie,26.9
Adelie,25.9
Adelie,23.1
Adelie,28.0
Adelie,31.6
Adelie,34.5
Adelie,29.2
Adelie,24.1
Adelie,19.9
Adelie,26.7
Adelie,36.7
Adelie,28.7
Adelie,27.7
Adelie,36.4
Adelie,27.0
Adelie,32.1
Adelie,20.6
Adelie,21.3
Adelie,22.2
Adelie,26.4
Adelie,25.4
Adelie,28.9
Adelie,37.5
Adelie,38.8
Adelie,19.8
Adelie,29.0
Adelie,25.7
Adelie,22.8
Adelie,22.3
Adelie,31.8
Adelie,37.8
Adelie,34.5
Adelie,19.1
Adelie,28.3
Adelie,23.7
Adelie,37.5
Adelie,34.0
Adelie,30.8
Adelie,27.9
Adelie,32.1
Adelie,27.8
Adelie,32.1
Adelie,37.5
Adelie,25.4
Adelie,28.7
Adelie,29.5
Adelie,32.3
Adelie,32.4
Adelie,33.1
Adelie,35.9
Adelie,41.3
Adelie,28.4
Adelie,31.2
Adelie,34.5
Adelie,25.5
Adelie,33.7
Adelie,43.0
Adelie,29.3
Adelie,33.2
Adelie,31.9
Adelie,38.4
Adelie,73.3
Adelie,47.4
Adelie,52.3
Adelie,36.5
Adelie,50.1
Adelie,33.7
Adelie,55.0
Adelie,42.2
Adelie,46.5
Adelie,34.6
Adelie,55.4
Adelie,49.2
Adelie,43.3
Adelie,43.7
Adelie,62.9
Adelie,49.2
Adelie,47.2
Adelie,59.8
Adelie,43.6
Adelie,63.1
Adelie,52.7
Adelie,50.0
Adelie,58.9
Adelie,41.1
Adelie,45.1
Adelie,50.6
Adelie,31.8
Adelie,60.9
Adelie,68.9
Adelie,69.9
Adelie,51.1
Adelie,47.8
Adelie,67.8
Adelie,26.9
Adelie,27.7
Adelie,28.6
Adelie,25.0
Adelie,20.5
Adelie,19.5
Adelie,23.3
Adelie,31.5
Adelie,25.1
Adelie,26.4
Adelie,33.1
Adelie,26.9
Adelie,30.9
Adelie,34.2
Adelie,24.3
Adelie,25.7
Adelie,20.8
Adelie,27.5
Adelie,21.6
Adelie,22.5
Adelie,26.5
Adelie,30.4
Adelie,28.0
Adelie,26.6
Adelie,22.7
Adelie,32.6
Adelie,29.7
Adelie,17.2
Adelie,30.8
Adelie,28.3
Adelie,31.4
Adelie,24.4
Adelie,31.1
Adelie,23.2
Adelie,32.8
Adelie,39.6
Adelie,33.4
Adelie,34.5
Adelie,32.5
Adelie,24.4
Adelie,28.7
Adelie,20.9
Adelie,36.0
Adelie,29.1
Adelie,28.4
Adelie,36.0
Adelie,36.2
Adelie,22.9
Adelie,26.2
Adelie,26.4
Adelie,36.3
Adelie,27.0
Adelie,33.5
Adelie,26.7
Adelie,35.4
Adelie,35.9
Adelie,38.3
Adelie,29.1
Adelie,30.0
Adelie,29.3
Adelie,33.0
Adelie,38.5
Adelie,32.3
Adelie,35.3
Adelie,31.7
Adelie,37.3
Adelie,32.5
Adelie,38.0
Adelie,33.9
Adelie,28.3
Adelie,39.6
Adelie,31.3
Adelie,16.3
Adelie,36.1
Adelie,31.9
Adelie,31.8
Adelie,34.1
Adelie,32.2
Adelie,35.0
Adelie,32.3
Adelie,42.3
Adelie,38.7
Adelie,52.1
Adelie,44.6
Adelie,29.8
Chinstrap,61.1
Chinstrap,47.7
Chinstrap,42.7
Chinstrap,46.4
Chinstrap,48.5
Chinstrap,35.6
Chinstrap,61.4
Chinstrap,38.8
Chinstrap,50.7
Chinstrap,61.8
Chinstrap,42.8
Chinstrap,55.8
Chinstrap,68.3
Chinstrap,54.5
Chinstrap,54.3
Chinstrap,63.0
Chinstrap,51.8
Chinstrap,51.8
Chinstrap,56.5
Chinstrap,30.4
Chinstrap,27.3
Chinstrap,25.1
Chinstrap,29.0
Chinstrap,19.9
Chinstrap,28.9
Chinstrap,29.6
Chinstrap,28.1
Chinstrap,29.7
Chinstrap,29.7
Chinstrap,29.7
Chinstrap,34.2
Chinstrap,33.7
Chinstrap,27.5
Chinstrap,22.2
Chinstrap,29.4
Chinstrap,32.8
Chinstrap,18.6
Chinstrap,27.8
Chinstrap,29.1
Chinstrap,32.3
Chinstrap,35.0
Chinstrap,20.2
Chinstrap,26.9
Chinstrap,27.3
Chinstrap,31.4
Chinstrap,28.3
Chinstrap,22.5
Chinstrap,24.7
Chinstrap,30.7
Chinstrap,32.4
Chinstrap,31.5
Chinstrap,28.4
Chinstrap,24.6
Chinstrap,25.3
Chinstrap,32.7
Chinstrap,22.7
Chinstrap,22.0
Chinstrap,32.3
Chinstrap,32.5
Chinstrap,25.5
Chinstrap,32.3
Chinstrap,33.5
Chinstrap,27.9
Chinstrap,36.0
Chinstrap,25.4
Chinstrap,26.1
Chinstrap,32.5
Chinstrap,29.1
Chinstrap,38.3
Chinstrap,21.8
Chinstrap,28.9
Chinstrap,34.5
Chinstrap,38.8
Chinstrap,38.4
Chinstrap,34.0
Chinstrap,29.3
Chinstrap,31.8
Chinstrap,34.3
Chinstrap,23.0
Chinstrap,28.4
Chinstrap,31.7
Chinstrap,29.2
Chinstrap,35.2
Chinstrap,20.8
Chinstrap,25.6
Chinstrap,32.6
Chinstrap,27.3
Chinstrap,31.5
Chinstrap,34.0
Chinstrap,21.4
Chinstrap,21.1
Chinstrap,30.8
Chinstrap,28.2
Chinstrap,20.2
Chinstrap,29.1
Chinstrap,28.2
Chinstrap,27.0
Chinstrap,32.9
Chinstrap,36.5
Chinstrap,22.4
Chinstrap,36.0
Chinstrap,29.2
Chinstrap,30.9
Chinstrap,32.1
Chinstrap,27.6
Chinstrap,27.0
Chinstrap,32.8
Chinstrap,39.6
Chinstrap,28.2
Chinstrap,28.2
Chinstrap,27.1
Chinstrap,31.1
Chinstrap,30.6
